Name,Price,1h %,24h %,7d %,Market Cap,Circulating Supply,Timestamp,Volume(24h)_USD,Volume(24h)_Currency
Bitcoin,60223.04,0.47,1.14,4.29,1.18848E+12,19737678,51:06.2,38386078287,637496
Ethereum,2587.9,0.36,0.15,14.24,3.11611E+11,120263205,51:06.2,20261267791,7819626
BNB,505.39,0.34,0.12,9.25,73768814796,145936665,51:06.2,1635947463,3236391
Bitcoin,60223.04,0.47,1.14,4.29,1.18848E+12,19737678,51:08.8,38386078287,637496
Ethereum,2587.9,0.36,0.15,14.24,3.11611E+11,120263205,51:08.8,20261267791,7819626
BNB,505.39,0.34,0.12,9.25,73768814796,145936665,51:08.8,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,51:17.5,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,51:17.5,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,51:17.5,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,51:20.3,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,51:20.3,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,51:20.3,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,51:28.9,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,51:28.9,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,51:28.9,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,51:31.8,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,51:31.8,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,51:31.8,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,51:40.5,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,51:40.5,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,51:40.5,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,51:43.2,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,51:43.2,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,51:43.2,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,51:51.8,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,51:51.8,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,51:51.8,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,51:54.5,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,51:54.5,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,51:54.5,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,52:03.3,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,52:03.3,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,52:03.3,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,52:06.0,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,52:06.0,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,52:06.0,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,52:14.7,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,52:14.7,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,52:14.7,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,52:17.7,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,52:17.7,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,52:17.7,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,52:26.3,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,52:26.3,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,52:26.3,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,52:29.0,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,52:29.0,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,52:29.0,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,52:37.7,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,52:37.7,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,52:37.7,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,52:40.3,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,52:40.3,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,52:40.3,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,52:49.0,38386078287,637496
Ethereum,2590.81,0.19,0.36,14.15,3.11611E+11,120263205,52:49.0,20261267791,7819626
BNB,505.31,0.3,0.1,9.2,73768814796,145936665,52:49.0,1635947463,3236391
Bitcoin,60346.8,0.14,1.52,4.02,1.18848E+12,19737678,52:51.9,38386078287,637496
